paper_id,sequence_number,status,error_code,stage_path,canonical_path,staged_primary_artifact_count,stage_structure_status,stage_hash_status,identity_binding_status,provenance_status,source_body_binding_status,duplicate_id_status,duplicate_path_status,promoted,post_promotion_status,registry_registered,started_at,finished_at
CUMCM-1998-B-007,45,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-1998-B-007,derived/scale/papers/CUMCM-1998-B-007,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.847+00:00,2026-09-03T07:15:37.557+00:00
CUMCM-2002-A-001,46,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2002-A-001,derived/scale/papers/CUMCM-2002-A-001,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.873+00:00,2026-09-03T07:15:37.569+00:00
CUMCM-2002-A-006,47,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2002-A-006,derived/scale/papers/CUMCM-2002-A-006,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.900+00:00,2026-09-03T07:15:37.579+00:00
CUMCM-2002-A-007,48,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2002-A-007,derived/scale/papers/CUMCM-2002-A-007,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.927+00:00,2026-09-03T07:15:37.590+00:00
CUMCM-2002-A-010,49,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2002-A-010,derived/scale/papers/CUMCM-2002-A-010,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.954+00:00,2026-09-03T07:15:37.600+00:00
CUMCM-2002-A-013,50,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2002-A-013,derived/scale/papers/CUMCM-2002-A-013,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:34.982+00:00,2026-09-03T07:15:37.610+00:00
CUMCM-2002-A-014,51,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2002-A-014,derived/scale/papers/CUMCM-2002-A-014,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.007+00:00,2026-09-03T07:15:37.622+00:00
CUMCM-2002-A-015,52,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2002-A-015,derived/scale/papers/CUMCM-2002-A-015,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.033+00:00,2026-09-03T07:15:37.633+00:00
CUMCM-2003-A-001,53,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2003-A-001,derived/scale/papers/CUMCM-2003-A-001,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.059+00:00,2026-09-03T07:15:37.644+00:00
CUMCM-2003-A-004,54,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2003-A-004,derived/scale/papers/CUMCM-2003-A-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.084+00:00,2026-09-03T07:15:37.655+00:00
CUMCM-2003-A-009,55,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2003-A-009,derived/scale/papers/CUMCM-2003-A-009,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.110+00:00,2026-09-03T07:15:37.666+00:00
CUMCM-2003-A-010,56,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2003-A-010,derived/scale/papers/CUMCM-2003-A-010,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.135+00:00,2026-09-03T07:15:37.677+00:00
CUMCM-2003-B-002,57,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2003-B-002,derived/scale/papers/CUMCM-2003-B-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.162+00:00,2026-09-03T07:15:37.688+00:00
CUMCM-2003-B-004,58,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2003-B-004,derived/scale/papers/CUMCM-2003-B-004,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.187+00:00,2026-09-03T07:15:37.698+00:00
CUMCM-2003-B-006,59,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2003-B-006,derived/scale/papers/CUMCM-2003-B-006,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.215+00:00,2026-09-03T07:15:37.709+00:00
CUMCM-2003-B-010,60,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2003-B-010,derived/scale/papers/CUMCM-2003-B-010,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.240+00:00,2026-09-03T07:15:37.720+00:00
CUMCM-2003-B-011,61,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2003-B-011,derived/scale/papers/CUMCM-2003-B-011,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.263+00:00,2026-09-03T07:15:37.730+00:00
CUMCM-2004-A-001,62,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-A-001,derived/scale/papers/CUMCM-2004-A-001,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.290+00:00,2026-09-03T07:15:37.741+00:00
CUMCM-2004-A-002,63,PROMOTED,,catalog/scale/g8_q3_formal_artifact_stage/20260903T071531890631_0e2ef355/CUMCM-2004-A-002,derived/scale/papers/CUMCM-2004-A-002,3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,1,PASS,1,2026-09-03T07:15:35.316+00:00,2026-09-03T07:15:37.752+00:00
