paper_id,attempt,logical_page_number,page_class,text_layer_present,ocr_route_required,text_chars,text_sha256,rendered_for_classification,nonwhite_ratio
CUMCM-2013-D-001,PRIMARY,5,TEXT_PAGE,1,0,1120,F98419B092EE98F402E75A9C658183E4854026CDE34E7FECB3DC117D3D4B7B08,0,
CUMCM-2013-D-001,PRIMARY,6,TEXT_PAGE,1,0,1426,0D45B5991AB31E6DFC8F0468F0D79F0A936F26216317F1679A1BEAF0C051AF82,0,
CUMCM-2013-D-001,PRIMARY,7,TEXT_PAGE,1,0,1063,E2DCC29442960D018D280CBAF94A858B500B952B04B97D111F0267BF417299E0,0,
CUMCM-2013-D-001,PRIMARY,8,TEXT_PAGE,1,0,550,9611C6106EAE0CBC4CC5565B4035BB5FC57453DD659EBA5246F1836205C446C8,0,
CUMCM-2013-D-001,PRIMARY,9,TEXT_PAGE,1,0,1142,6075153FF386A73324019C9459331DA3BF37569A0FDFD8EFC7F201A35E455CC3,0,
CUMCM-2013-D-001,PRIMARY,10,TEXT_PAGE,1,0,913,64CC2E4DD269A0FC0F6F9F6F5ABB84AE297341167F9520CBDD10CC2B5A9C1C5C,0,
CUMCM-2013-D-001,PRIMARY,11,TEXT_PAGE,1,0,305,74417A0F3FBA2ACD775572A9E4BD9A9740A78A7106514B8B194C9604E8237AFB,0,
CUMCM-2013-D-001,PRIMARY,12,TEXT_PAGE,1,0,784,1DA76759F96C2AB34B0ADE32DF7A33ABC5CFED696012FFA44315112C2B7DF16A,0,
CUMCM-2013-D-001,PRIMARY,13,TEXT_PAGE,1,0,581,D69285E8CA91A2CD9FA4E85420BAAC0C9638CEEE714A0E48675D2B2A5202FAD4,0,
CUMCM-2013-D-001,PRIMARY,14,TEXT_PAGE,1,0,579,1596BE3487BBBC050E61B43D60F17BBBE30466DF5F185E7BC26A39934CD3726C,0,
CUMCM-2013-D-001,PRIMARY,15,TEXT_PAGE,1,0,735,31A4BA2C2A3DA257C30BDCF9874671336BDF2F7CD4A2480089F0CE0207CEA781,0,
CUMCM-2013-D-001,PRIMARY,16,TEXT_PAGE,1,0,663,BFF2A75ED67276D63F96298589166070B31B7B3C83F5F01E780C13E8534B1B05,0,
CUMCM-2013-D-001,PRIMARY,17,TEXT_PAGE,1,0,1457,C90A470AAF1034B39CDF463B0AA42416B88EC1CC9174678B4EBEA65ED2976300,0,
CUMCM-2013-D-001,PRIMARY,18,TEXT_PAGE,1,0,313,1CE7A6C9C0A051732B0F1FF234FF837B41DB8F9AC7C5E744C4EF1E44AB6DFE3E,0,
CUMCM-2013-D-001,PRIMARY,19,TEXT_PAGE,1,0,403,D4D4AC2EBB39A6EB5FF265FCDBCEBA76946A8F28FDD62806931B06CCCCC8D6CC,0,
