batch_attempt_id,paper_id,sequence_number,status,error_code,primary_error_code,cleanup_error_code,source_gate_status,page_count,ocr_required,ocr_completed,body_quality_status,content_sanity_status,provenance_status,persistence_status,reused,started_at,finished_at
20260902T181812821882_f3ed3664,CUMCM-2010-A-001,98,PASS,,,,PASS,25,25,25,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:20.652723+00:00,2026-09-02T18:18:20.797516+00:00
20260902T181812821882_f3ed3664,CUMCM-2010-A-005,99,PASS,,,,PASS,37,36,36,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:20.817669+00:00,2026-09-02T18:18:20.975418+00:00
20260902T181812821882_f3ed3664,CUMCM-2010-A-006,100,PASS,,,,PASS,100,73,73,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:20.994991+00:00,2026-09-02T18:18:21.301450+00:00
20260902T181812821882_f3ed3664,CUMCM-2010-B-001,101,PASS,,,,PASS,29,27,27,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.322015+00:00,2026-09-02T18:18:21.445722+00:00
20260902T181812821882_f3ed3664,CUMCM-2010-C-003,102,PASS,,,,PASS,20,20,20,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.465763+00:00,2026-09-02T18:18:21.567052+00:00
20260902T181812821882_f3ed3664,CUMCM-2010-D-001,103,PASS,,,,PASS,10,10,10,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.587668+00:00,2026-09-02T18:18:21.650416+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-A-002,104,PASS,,,,PASS,40,40,40,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.670314+00:00,2026-09-02T18:18:21.703404+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-A-003,105,PASS,,,,PASS,42,42,42,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.723082+00:00,2026-09-02T18:18:21.756900+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-A-004,106,PASS,,,,PASS,24,24,24,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.776749+00:00,2026-09-02T18:18:21.800835+00:00
20260902T181812821882_f3ed3664,CUMCM-2019-B-001,107,PASS,,,,PASS,35,35,35,USABLE,PASS,PASS,REUSED,1,2026-09-02T18:18:21.820005+00:00,2026-09-02T18:18:21.853328+00:00
