attempt_id,sequence_number,tool_kind,phase,paper_id,page_number,started_at,finished_at,duration_ms,timeout_seconds,exit_code,timed_out,status,stdout_bytes,stderr_bytes,stderr_tail,child_pid,cleanup_attempted,cleanup_success,descendant_cleanup_count
20260902T115340152779_a4c93a4d,732,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,85,2026-09-02T11:55:24.206205+00:00,2026-09-02T11:55:24.264779+00:00,59,180,0,0,SUCCESS,124,0,,47644,0,0,0
20260902T115340152779_a4c93a4d,733,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,85,2026-09-02T11:55:24.294792+00:00,2026-09-02T11:55:24.743631+00:00,449,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",12432,0,0,0
20260902T115340152779_a4c93a4d,734,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,86,2026-09-02T11:55:24.790763+00:00,2026-09-02T11:55:24.860662+00:00,70,180,0,0,SUCCESS,124,0,,10096,0,0,0
20260902T115340152779_a4c93a4d,735,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,86,2026-09-02T11:55:24.877423+00:00,2026-09-02T11:55:25.312183+00:00,435,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",10844,0,0,0
20260902T115340152779_a4c93a4d,736,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,87,2026-09-02T11:55:25.358162+00:00,2026-09-02T11:55:25.420881+00:00,63,180,0,0,SUCCESS,124,0,,22480,0,0,0
20260902T115340152779_a4c93a4d,737,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,87,2026-09-02T11:55:25.450394+00:00,2026-09-02T11:55:25.933533+00:00,483,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",44384,0,0,0
20260902T115340152779_a4c93a4d,738,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,88,2026-09-02T11:55:25.978603+00:00,2026-09-02T11:55:26.042186+00:00,64,180,0,0,SUCCESS,124,0,,23436,0,0,0
20260902T115340152779_a4c93a4d,739,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,88,2026-09-02T11:55:26.074963+00:00,2026-09-02T11:55:26.462358+00:00,387,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",5800,0,0,0
20260902T115340152779_a4c93a4d,740,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,89,2026-09-02T11:55:26.514106+00:00,2026-09-02T11:55:26.573542+00:00,59,180,0,0,SUCCESS,124,0,,21344,0,0,0
20260902T115340152779_a4c93a4d,741,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,89,2026-09-02T11:55:26.600860+00:00,2026-09-02T11:55:26.999542+00:00,399,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",9512,0,0,0
20260902T115340152779_a4c93a4d,742,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,90,2026-09-02T11:55:27.037005+00:00,2026-09-02T11:55:27.098730+00:00,62,180,0,0,SUCCESS,124,0,,47100,0,0,0
20260902T115340152779_a4c93a4d,743,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,90,2026-09-02T11:55:27.115233+00:00,2026-09-02T11:55:27.514660+00:00,399,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",4464,0,0,0
20260902T115340152779_a4c93a4d,744,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,91,2026-09-02T11:55:27.560341+00:00,2026-09-02T11:55:27.622543+00:00,62,180,0,0,SUCCESS,124,0,,39280,0,0,0
20260902T115340152779_a4c93a4d,745,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,91,2026-09-02T11:55:27.651578+00:00,2026-09-02T11:55:28.077761+00:00,426,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",4064,0,0,0
20260902T115340152779_a4c93a4d,746,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,92,2026-09-02T11:55:28.121873+00:00,2026-09-02T11:55:28.179789+00:00,58,180,0,0,SUCCESS,124,0,,51812,0,0,0
20260902T115340152779_a4c93a4d,747,PDFTOPPM,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,92,2026-09-02T11:55:28.211082+00:00,2026-09-02T11:55:28.600652+00:00,390,180,0,0,SUCCESS,0,49,"Syntax Error: No display font for 'ArialUnicode'
",53232,0,0,0
20260902T115340152779_a4c93a4d,748,PDFTOTEXT,PHASE_4_PAGE_AUDIT,CUMCM-2020-D-003,93,2026-09-02T11:55:28.647119+00:00,2026-09-02T11:55:28.708998+00:00,62,180,0,0,SUCCESS,124,0,,24416,0,0,0
