"paper_id","logical_page_number","page_class","text_layer_present","ocr_route_required","text_chars","text_sha256","rendered_for_classification","nonwhite_ratio"
"CUMCM-2013-D-001","34","TEXT_PAGE","1","0","1825","21FA17D4C25D385C1895AB76806312B0FECF42397E542677A54B477B18F36B71","0",""
"CUMCM-2013-D-001","35","TEXT_PAGE","1","0","1867","43C1433A6A129773AE5EC4ED4EA4D968BBCFB344A3EEAD5542AAC7A3F3C2BD49","0",""
"CUMCM-2013-D-001","36","TEXT_PAGE","1","0","1926","2AB27CF2A03BC714E693791F73CA205CB92FC83E22641AF658DD1D6EFD740217","0",""
"CUMCM-2013-D-001","37","TEXT_PAGE","1","0","1834","CF353550BA993822C55283648192F714BFADDDFA9A6C589F4A33B344B7C7A632","0",""
"CUMCM-2013-D-001","38","TEXT_PAGE","1","0","1840","28103100FCE684FAF16DFD959195C13B34DCADCB00E610DEE0881884FA9B3563","0",""
"CUMCM-2013-D-001","39","TEXT_PAGE","1","0","1851","BD948D5BF4F4FD372D4ED4E87963649E2B32574F6FF2A303B392F7604B49A2B7","0",""
"CUMCM-2013-D-001","40","TEXT_PAGE","1","0","1902","76BA3F7DC4E959ADF3550E978DBF8422C51D6C6B958C18D57BC546AB5FF53B7A","0",""
"CUMCM-2013-D-001","41","TEXT_PAGE","1","0","1806","36F7FE9C8C043CEAEE0ED9A27C10900FACED002C45FB8C7BF4EFB5EC620DFBDC","0",""
"CUMCM-2013-D-001","42","TEXT_PAGE","1","0","1869","FCFF0C47BDA747DCF74767862A864D3E45A6A7B443B2986054E46B3999061363","0",""
"CUMCM-2013-D-001","43","TEXT_PAGE","1","0","1259","AED5CD7FA90CE23CDB0E1644C9AF8D3C3448E9AA7A9565A555BDEA55AF4FB70B","0",""
"CUMCM-2013-D-001","44","TEXT_PAGE","1","0","1001","8E170BC702AC443978C29A7FC5BC86D5844937B3BE0F5DC1594C7B726F0680FF","0",""
"CUMCM-2013-D-001","45","TEXT_PAGE","1","0","1046","90CB43612FB47E049B943DF7F0DE170EBFB88F953C70EDC52B651B2325774DF5","0",""
"CUMCM-2013-D-001","46","TEXT_PAGE","1","0","1095","AA3B73B8654F01B50F7EEE83008863E781F39D59290746389425FEF789B6FCF8","0",""
"CUMCM-2013-D-001","47","TEXT_PAGE","1","0","1145","C458F193D3AE5143F7390FE931AE099951389D7B3A918A3A9436813172BA81FC","0",""
"CUMCM-2013-D-001","48","TEXT_PAGE","1","0","1283","4230340E4E340A82E2B880428D190B9A7470562B797A5C80379BA9D8653D3ECD","0",""
"CUMCM-2013-D-001","49","TEXT_PAGE","1","0","1343","57EABCEBA5DB193F1993AD94BBD58C4357B2C7278095A520A24DD1C5173B500D","0",""
"CUMCM-2013-D-001","50","TEXT_PAGE","1","0","1403","189AA32E0088767B91A9BAEF3D05BBE299E4BAC084E7398A3D736949F4D2FAF6","0",""
"CUMCM-2013-D-001","51","TEXT_PAGE","1","0","1463","8282FF810238B40CD699AC1307E2C1378C07E43DF75CEDC4BD74A628A9666E29","0",""
"CUMCM-2013-D-001","52","TEXT_PAGE","1","0","1856","171629B41A6621AF030A643FFF09B3902B8D8FEE95B7FD26939BDDF1D48C52D8","0",""
"CUMCM-2013-D-001","53","TEXT_PAGE","1","0","1883","5CDFED8A5D208E62C5809F4723BB2E4333B9D45E52DC2190E551E9C69FEAF817","0",""
"CUMCM-2013-D-001","54","TEXT_PAGE","1","0","1954","54411CBD4058D2F0E663C674E24B6F2F916E4DC8D5F6524D3AFAD23211B649E9","0",""
"CUMCM-2013-D-001","55","TEXT_PAGE","1","0","1836","941F7C9A871274C2E749665DB7ABC850125295639F0655B1967C2962C4F7F269","0",""
"CUMCM-2013-D-001","56","TEXT_PAGE","1","0","1449","2E3833DC91C19BC6A25D4E622C2C6365EBDA2654C19D4137179B28910B47495A","0",""
"CUMCM-2013-D-001","57","TEXT_PAGE","1","0","1339","33F2BD89742572247FFF6B10009C7BC989FAAF3FBE923971E7CA84C830358A70","0",""
"CUMCM-2013-D-001","58","TEXT_PAGE","1","0","1299","30F68673A3A9E1C8F407C0DE2D96FA60570BB11D885EECC62090BF6615D2BFD2","0",""
"CUMCM-2013-D-001","59","TEXT_PAGE","1","0","1365","153988F121A27B614AEC83627440BE9B8A5A28D174A84B40ACD03CBC8A7A5595","0",""
"CUMCM-2013-D-001","60","TEXT_PAGE","1","0","341","E9BDE9FD0799EDAD7BA2427863D4B9519F63384CB98CF091BB0DA540C051B9E1","0",""
"CUMCM-2013-D-001","61","TEXT_PAGE","1","0","1217","1BFBEDABF98A8E87E495B0493C4EA6DB5269718433D7058E46700B166B85F29C","0",""
"CUMCM-2013-D-001","62","TEXT_PAGE","1","0","1049","241D9953857518B841074A878DCA72B2E6D178AFD81AEBE5A9D2368D0B1D3D20","0",""
"CUMCM-2013-D-001","63","TEXT_PAGE","1","0","1428","44BBBF0DD60B8DB406F1DE64C5EBA1E93E93E913F470749D15CD83E6BA80BFA2","0",""
"CUMCM-2013-D-001","64","TEXT_PAGE","1","0","1377","8DA2A53D3B73546D64B1FC9353418ED550CF595D1E83D127C9D7AC9A9F8BC039","0",""
"CUMCM-2013-D-001","65","TEXT_PAGE","1","0","1352","2ABBABF84C502D8AA1D2BB077A80A73ADBDC1F33F62CBC76D76A64EED5CB5608","0",""
"CUMCM-2013-D-001","66","TEXT_PAGE","1","0","748","81946C6719CB8D5335B163AFAFE4FE08F31576BEBB32F236FA24035A2A1504ED","0",""
"CUMCM-2013-D-001","67","TEXT_PAGE","1","0","967","7D8825005A196B6CEC6FFFA649473091F6C45A14131593824BD4F7F680AC99D5","0",""
"CUMCM-2013-D-001","68","TEXT_PAGE","1","0","370","64BC9F7A32260A43EA759FE459A4C6FDEDC0AEC81EF7C1E40B575FFBC66F190F","0",""
"CUMCM-2013-D-001","69","TEXT_PAGE","1","0","377","91A4E558D0468ABD7B6FC92B1CA35C97832809B00BAA78494DD4961F5C41FA76","0",""
"CUMCM-2013-D-001","70","TEXT_PAGE","1","0","380","6638151AD35E2CC7510E85647A58A79DDD3236742733FECACCDD8AB7D5A6D2A7","0",""
"CUMCM-2013-D-001","71","TEXT_PAGE","1","0","413","63135CF3B710DF89A802590D3FCC1A7DB2229064F0B6FFAC6889139F5A33D53A","0",""
"CUMCM-2013-D-001","72","TEXT_PAGE","1","0","1203","3FE06DDB0E81B6AA7E3138CC55EDEF0ABADA29C94AAFB6A9A06E6224865C7E74","0",""
"CUMCM-2013-D-001","73","TEXT_PAGE","1","0","1648","A60E3DAED37D6E0CF8973B6D2EC1F1D1548EE0EEE186C7DA5DA9EE1760ED8D48","0",""
"CUMCM-2013-D-001","74","TEXT_PAGE","1","0","1263","3BB889307BD485A6934B3C686D59DF0D7AB77C37B59111BF2AFA1C7378961CD9","0",""
"CUMCM-2013-D-001","75","TEXT_PAGE","1","0","1174","7ABCF1CA2F3CA6ACE72628B01D305F791E20F2E54A626CF82BDB0DE8124D990F","0",""
"CUMCM-2013-D-001","76","TEXT_PAGE","1","0","1012","D5197E72576590BFA59B96AAD60D1FDA2AC97A7E2E28684F6A5872F65C00B270","0",""
"CUMCM-2013-D-001","77","TEXT_PAGE","1","0","720","CB9EB489280113D5CFB0BCAD0212BC1A6EE51AAE3AD8F311322E15255982B9FF","0",""
"CUMCM-2013-D-001","78","TEXT_PAGE","1","0","1022","0F9FB9FF7F99A3B220B1AC7BB529AFBF98ECBC29E5E7F20F62A87C2ABBE321BE","0",""
"CUMCM-2013-D-001","79","TEXT_PAGE","1","0","1377","BDF18AEDE29F4BEDC394E89E0E44C6DF0EC22802A3FA2153A00D55B9E662492A","0",""
"CUMCM-2013-D-001","80","TEXT_PAGE","1","0","985","4AE45E8F77F223A0F2375DE6DB84685DACF768DDAE39B75FBA6D4B094ACB36BD","0",""
"CUMCM-2013-D-001","81","TEXT_PAGE","1","0","779","71A867704DAFCA17ADC7803C09AF942CF9DFA8A20DB89A1A4EBDAD8522A570EA","0",""
"CUMCM-2014-D-003","1","TEXT_PAGE","1","0","984","BA536B26BA8B34370B3A1D5FC75015BB9460A530C8866DBCD6529E8D69B76A4E","0",""
"CUMCM-2014-D-003","2","TEXT_PAGE","1","0","191","619553D2679FA0A4334B12C9F4247B50351C74BC130D2850B5C731BE6D65E54B","0",""
"CUMCM-2014-D-003","3","TEXT_PAGE","1","0","1035","5F8E0AA8F6DC021BC0EF9052F9CBAE99DDF4C1AB3CDAAB333279CD32EDF52958","0",""
