paper_id,effective_pdf_sha256,logical_page_number,page_class,pdf_inspector_text_chars,poppler_text_chars,text_chars,text_sha256,evidence_source
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,11,TEXT_PAGE,747,731,747,8E9ECD0DD2B10527989C04E12730EB52D1DF119BF07E93A125D6CDBAC9CFF15A,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,12,TEXT_PAGE,901,887,901,FD675641696B465F1F36C8B2E43991EAEB9701EE78379D0F2D06302797F8DCDE,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,13,TEXT_PAGE,706,673,706,4B6872223E0F1B3B47E149131A3E8F209679537A15258FC4403427FCCB18BCBE,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,14,TEXT_PAGE,761,745,761,D7098470811B3928DC395691661D7973120EEFBE391CF3314EE6F5F5720FA409,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,15,TEXT_PAGE,699,665,699,98B87424CC37A8E0B7C1F64636C6365FA736B6519E38BD74309B164709266309,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,16,TEXT_PAGE,898,905,898,04AA87C951DF91FEC2606F93EAC07AA9FF7FA51437DCEA4628326B0D09B491E9,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,17,TEXT_PAGE,979,945,979,98DC215E375A8988ED7B7F244417D476B15BE09553F60EEA0B9C191C49F04963,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,18,TEXT_PAGE,1085,1118,1085,BE5C313AD31B204EE5246FF62D5508A4094DEAF0D4FE23CF6529535552C11FA2,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,19,TEXT_PAGE,1107,1118,1107,DC38364A5571DEBA2902351013E3EF19831C44B5AA5B8861D29D43CC6423CEF1,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,20,TEXT_PAGE,861,845,861,1EF3EE2C01E3B83F3250EBF6B29EC67A03D14293FD6D8CC58969F92E4B62A4CA,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,21,TEXT_PAGE,314,298,314,47C52EB96BFAE5C546F1426958C014D329D33008209ED20F8C0E4C18BA3DE9C3,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,22,TEXT_PAGE,492,476,492,B9B1AB3514CE44F50C186E6D112D8F72608A175A14565E6750C88DD68A6950E0,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,23,TEXT_PAGE,576,560,576,94A66E77D3775FF9F6B1502CE190FDBA1EDFFBF7027442328F19AA3B4AC8B037,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,24,TEXT_PAGE,577,561,577,D1F8AB5D17BA5848FC62736CBF8BA70020765CAD724FAE4EB55B085416314833,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,25,TEXT_PAGE,506,490,506,8009152D2B1A2B12834E91574EF26737796B0E3AE247BD979771E5A6370EA70F,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,26,TEXT_PAGE,492,476,492,9CB5A2C6E09D7A77CC055F4CA95383BE2F45919644E8A4503B9B4C2BE92E6A0A,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,27,TEXT_PAGE,616,600,616,07FE992FAFAB28424864238CDA24BF3C7B551D285E697F0FFE9FDC538F47A6E3,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-C-003,43E6F2FFCF11E26323BAD64452D8923C0A1898EEACDEAC867B9A113B397FA83B,28,TEXT_PAGE,678,662,678,0C11B4E394A9C426CBA24FD508E5EAED9F1EB1A96A215B33CD5115AE08C7B36B,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-D-001,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,1,TEXT_PAGE,989,973,989,2CCF54513546829880CC59C94AC0086CAB64FE4B1F4D20646D87C5A27776CC92,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-D-001,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,2,TEXT_PAGE,1128,1112,1128,1D78C9227A2677065D04FA4CF72DC1F3350456689AE08658C16509BF077FE454,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-D-001,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,3,TEXT_PAGE,818,819,818,24DC102B685EFCEB5E566D21FAFF5CB5007CBF27BDE6C79A49950654D6C6D3F6,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-D-001,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,4,TEXT_PAGE,994,977,994,1EB651AF50C6951B498D144DCFE9A2291AE0B93ACF1A8AE272A74BDD7154A379,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
CUMCM-2011-D-001,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,5,TEXT_PAGE,571,585,571,026C158696FE5BF0D90DCC895197AA204490FCB751C8D2A2EC2941163A263548,NEW_READ_ONLY_POPPLER_PDF_INSPECTOR
