paper_id,source_page,api_page_index,api_call_mode,text_chars,text_nonempty,needs_ocr_if_available,verified_blank_page,status
CUMCM-2025-C-C023,3,2,extract_text_in_regions_full_page,668,1,0,0,PASS
CUMCM-2025-C-C023,4,3,extract_text_in_regions_full_page,819,1,0,0,PASS
CUMCM-2025-C-C023,5,4,extract_text_in_regions_full_page,809,1,0,0,PASS
CUMCM-2025-C-C023,6,5,extract_text_in_regions_full_page,965,1,0,0,PASS
CUMCM-2025-C-C023,7,6,extract_text_in_regions_full_page,1331,1,0,0,PASS
CUMCM-2025-C-C023,8,7,extract_text_in_regions_full_page,937,1,0,0,PASS
CUMCM-2025-C-C023,9,8,extract_text_in_regions_full_page,12,0,0,0,MISSING_PAGE_TEXT
CUMCM-2025-C-C023,10,9,extract_text_in_regions_full_page,1343,1,0,0,PASS
CUMCM-2025-C-C023,11,10,extract_text_in_regions_full_page,1419,1,0,0,PASS
CUMCM-2025-C-C023,12,11,extract_text_in_regions_full_page,1178,1,0,0,PASS
CUMCM-2025-C-C023,13,12,extract_text_in_regions_full_page,786,1,0,0,PASS
CUMCM-2025-C-C023,14,13,extract_text_in_regions_full_page,644,1,0,0,PASS
CUMCM-2025-C-C023,15,14,extract_text_in_regions_full_page,774,1,0,0,PASS
CUMCM-2025-C-C023,16,15,extract_text_in_regions_full_page,1065,1,0,0,PASS
CUMCM-2025-C-C023,17,16,extract_text_in_regions_full_page,1258,1,0,0,PASS
CUMCM-2025-C-C023,18,17,extract_text_in_regions_full_page,1322,1,0,0,PASS
CUMCM-2025-C-C023,19,18,extract_text_in_regions_full_page,1428,1,0,0,PASS
CUMCM-2025-C-C023,20,19,extract_text_in_regions_full_page,1062,1,0,0,PASS
CUMCM-2025-C-C023,21,20,extract_text_in_regions_full_page,739,1,0,0,PASS
CUMCM-2025-C-C023,22,21,extract_text_in_regions_full_page,971,1,0,0,PASS
CUMCM-2025-C-C023,23,22,extract_text_in_regions_full_page,1355,1,0,0,PASS
CUMCM-2025-C-C023,24,23,extract_text_in_regions_full_page,1429,1,0,0,PASS
CUMCM-2025-C-C023,25,24,extract_text_in_regions_full_page,1085,1,0,0,PASS
CUMCM-2025-C-C023,26,25,extract_text_in_regions_full_page,12,0,0,0,MISSING_PAGE_TEXT
CUMCM-2025-C-C023,27,26,extract_text_in_regions_full_page,1007,1,0,0,PASS
CUMCM-2025-C-C023,28,27,extract_text_in_regions_full_page,985,1,0,0,PASS
CUMCM-2025-C-C023,29,28,extract_text_in_regions_full_page,1047,1,0,0,PASS
CUMCM-2025-C-C023,30,29,extract_text_in_regions_full_page,784,1,0,0,PASS
CUMCM-2025-C-C023,31,30,extract_text_in_regions_full_page,1302,1,0,0,PASS
CUMCM-2025-C-C023,32,31,extract_text_in_regions_full_page,1132,1,0,0,PASS
CUMCM-2025-C-C023,33,32,extract_text_in_regions_full_page,1174,1,0,0,PASS
CUMCM-2025-C-C023,34,33,extract_text_in_regions_full_page,1078,1,0,0,PASS
CUMCM-2025-C-C023,35,34,extract_text_in_regions_full_page,1173,1,0,0,PASS
CUMCM-2025-C-C023,36,35,extract_text_in_regions_full_page,1233,1,0,0,PASS
CUMCM-2025-C-C023,37,36,extract_text_in_regions_full_page,1091,1,0,0,PASS
CUMCM-2025-C-C023,38,37,extract_text_in_regions_full_page,1088,1,0,0,PASS
CUMCM-2025-C-C023,39,38,extract_text_in_regions_full_page,960,1,0,0,PASS
CUMCM-2025-C-C023,40,39,extract_text_in_regions_full_page,1093,1,0,0,PASS
CUMCM-2025-C-C023,41,40,extract_text_in_regions_full_page,1245,1,0,0,PASS
CUMCM-2025-C-C023,42,41,extract_text_in_regions_full_page,1185,1,0,0,PASS
CUMCM-2025-C-C023,43,42,extract_text_in_regions_full_page,1075,1,0,0,PASS
CUMCM-2025-C-C023,44,43,extract_text_in_regions_full_page,975,1,0,0,PASS
CUMCM-2025-C-C023,45,44,extract_text_in_regions_full_page,1241,1,0,0,PASS
CUMCM-2025-C-C023,46,45,extract_text_in_regions_full_page,1318,1,0,0,PASS
CUMCM-2025-C-C023,47,46,extract_text_in_regions_full_page,1319,1,0,0,PASS
CUMCM-2025-C-C023,48,47,extract_text_in_regions_full_page,1254,1,0,0,PASS
CUMCM-2025-C-C023,49,48,extract_text_in_regions_full_page,1218,1,0,0,PASS
CUMCM-2025-C-C023,50,49,extract_text_in_regions_full_page,1118,1,0,0,PASS
CUMCM-2025-C-C023,51,50,extract_text_in_regions_full_page,1502,1,0,0,PASS
CUMCM-2025-C-C023,52,51,extract_text_in_regions_full_page,1181,1,0,0,PASS
